Periodo;Nivel General y Aperturas;Indice
"periodo";"nivel_general_aperturas";"indice_icc"
"1/8/2022";"ie_otros_trabajos_y_gastos";139,938404212848
"1/9/2022";"i_movimiento_de_tierras";145,316031372457
"1/9/2022";"2_estructura";156,094474324938
"1/9/2022";"e_albanileria";152,930844163692
"1/9/2022";"4_yeseria";160,599799279769
"1/9/2022";"m_instalacion_sanitaria_y_contraincendio";169,502402394952
"1/9/2022";"6_instalacion_de_gas";162,596754734374
"1/9/2022";"t_instalacion_electrica";157,263908809542
"1/9/2022";"b_carpinteria_metalica_y_herreria";164,707427787427
"1/9/2022";"n_carpinteria_de_madera";168,450753516044
"1/9/2022";"io_ascensores";149,632241046972
"1/9/2022";"ii_vidrios";164,401940915114
"1/9/2022";"i2_pintura";148,242607331668
"1/9/2022";"ie_otros_trabajos_y_gastos";151,823159255527
"1/10/2022";"i_movimiento_de_tierras";157,655358488142
"1/10/2022";"2_estructura";167,99799166403
"1/10/2022";"e_albanileria";164,825841383923
"1/10/2022";"4_yeseria";173,209752641832
"1/10/2022";"m_instalacion_sanitaria_y_contraincendio";179,898446092904
"1/10/2022";"6_instalacion_de_gas";167,997397280701
"1/10/2022";"t_instalacion_electrica";170,018683475504
"1/10/2022";"b_carpinteria_metalica_y_herreria";175,912600528367
"1/10/2022";"n_carpinteria_de_madera";180,036746210547
"1/10/2022";"io_ascensores";160,736025159785
"1/10/2022";"ii_vidrios";176,163379842544
"1/10/2022";"i2_pintura";157,308429675245
"1/10/2022";"ie_otros_trabajos_y_gastos";162,471245793806
"1/11/2022";"i_movimiento_de_tierras";170,999164880601
"1/11/2022";"2_estructura";179,171767748325
"1/11/2022";"e_albanileria";176,147158591906
"1/11/2022";"4_yeseria";183,957140327056
"1/11/2022";"m_instalacion_sanitaria_y_contraincendio";192,514120789606
"1/11/2022";"6_instalacion_de_gas";177,36312000976
"1/11/2022";"t_instalacion_electrica";185,846795500868
"1/11/2022";"b_carpinteria_metalica_y_herreria";183,093719440106
"1/11/2022";"n_carpinteria_de_madera";189,303134364269
"1/11/2022";"io_ascensores";171,489804200061
"1/11/2022";"ii_vidrios";193,632590225271
"1/11/2022";"i2_pintura";167,419973276012
"1/11/2022";"ie_otros_trabajos_y_gastos";173,003364955039
"1/12/2022";"i_movimiento_de_tierras";175,546769606326
"1/12/2022";"2_estructura";185,891439811822
"1/12/2022";"e_albanileria";182,79765693613
"1/12/2022";"4_yeseria";192,765216364602
"1/12/2022";"m_instalacion_sanitaria_y_contraincendio";201,188379189719
"1/12/2022";"6_instalacion_de_gas";189,90632921688
"1/12/2022";"t_instalacion_electrica";197,463576658866
"1/12/2022";"b_carpinteria_metalica_y_herreria";188,129260140411
"1/12/2022";"n_carpinteria_de_madera";199,361315864302
"1/12/2022";"io_ascensores";185,829867099523
"1/12/2022";"ii_vidrios";208,88221997038
"1/12/2022";"i2_pintura";172,798175797362
"1/12/2022";"ie_otros_trabajos_y_gastos";184,148590330982
"1/1/2023";"i_movimiento_de_tierras";195,70293109389
"1/1/2023";"2_estructura";198,358254123279
"1/1/2023";"e_albanileria";195,33079259695
"1/1/2023";"4_yeseria";206,071787000413
"1/1/2023";"m_instalacion_sanitaria_y_contraincendio";216,016242009246
"1/1/2023";"6_instalacion_de_gas";199,605525356179
"1/1/2023";"t_instalacion_electrica";211,477126896656
"1/1/2023";"b_carpinteria_metalica_y_herreria";207,931341497234
"1/1/2023";"n_carpinteria_de_madera";208,10713270194
"1/1/2023";"io_ascensores";194,524196002841
"1/1/2023";"ii_vidrios";218,339309377192
"1/1/2023";"i2_pintura";181,325161215361
"1/1/2023";"ie_otros_trabajos_y_gastos";195,960152848805
"1/2/2023";"i_movimiento_de_tierras";204,312836894757
"1/2/2023";"2_estructura";212,668335694733
"1/2/2023";"e_albanileria";207,339397797133
"1/2/2023";"4_yeseria";219,286852824842
"1/2/2023";"m_instalacion_sanitaria_y_contraincendio";226,767889779277
"1/2/2023";"6_instalacion_de_gas";212,514741964782
"1/2/2023";"t_instalacion_electrica";224,811278025213
"1/2/2023";"b_carpinteria_metalica_y_herreria";214,960664399457
"1/2/2023";"n_carpinteria_de_madera";219,510487980927
"1/2/2023";"io_ascensores";202,873592370904
"1/2/2023";"ii_vidrios";237,406461922208
"1/2/2023";"i2_pintura";191,769302271539
"1/2/2023";"ie_otros_trabajos_y_gastos";207,070207790726
"1/3/2023";"i_movimiento_de_tierras";215,223117039356
"1/3/2023";"2_estructura";220,185152069549
"1/3/2023";"e_albanileria";214,186494347802
"1/3/2023";"4_yeseria";226,058208867111
"1/3/2023";"m_instalacion_sanitaria_y_contraincendio";245,684372441511
"1/3/2023";"6_instalacion_de_gas";225,533760793829
"1/3/2023";"t_instalacion_electrica";234,894693138069
"1/3/2023";"b_carpinteria_metalica_y_herreria";222,14616204224
"1/3/2023";"n_carpinteria_de_madera";231,747194820534
"1/3/2023";"io_ascensores";212,932433803388
"1/3/2023";"ii_vidrios";254,828903266038
"1/3/2023";"i2_pintura";212,916109916923
"1/3/2023";"ie_otros_trabajos_y_gastos";214,315317199293
"1/4/2023";"i_movimiento_de_tierras";229,799746544182
"1/4/2023";"2_estructura";237,117762768753
